,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusValue,testStation,totalDocks,PUMA
38,,19,4,,242,,2019-01-18 02:44:03 PM,40.697787,,-73.973736,,Carlton Ave & Flushing Ave,,Carlton Ave & Flushing Ave,In Service,False,23,4004.0
39,,16,13,,243,,2019-01-18 02:44:52 PM,40.688226,,-73.979382,,Fulton St & Rockwell Pl,,Fulton St & Rockwell Pl,In Service,False,31,4004.0
40,,0,30,,244,,2019-01-18 02:43:20 PM,40.69196035,,-73.96536851,,Willoughby Ave & Hall St,,Willoughby Ave & Hall St,In Service,False,31,4004.0
41,,1,22,,245,,2019-01-18 02:43:31 PM,40.69327018,,-73.97703874,,Myrtle Ave & St Edwards St,,Myrtle Ave & St Edwards St,In Service,False,23,4004.0
42,,9,8,,247,,2019-01-18 02:44:38 PM,40.73535398,,-74.00483091,,Perry St & Bleecker St,,Perry St & Bleecker St,In Service,False,20,3810.0
43,,9,13,,248,,2019-01-18 02:46:12 PM,40.72185379,,-74.00771779,,Laight St & Hudson St,,Laight St & Hudson St,In Service,False,23,3810.0
44,,8,19,,249,,2019-01-18 02:42:47 PM,40.71870987,,-74.0090009,,Harrison St & Hudson St,,Harrison St & Hudson St,In Service,False,27,3810.0
45,,7,18,,251,,2019-01-18 02:42:54 PM,40.72317958,,-73.99480012,,Mott St & Prince St,,Mott St & Prince St,In Service,False,27,3810.0
46,,20,13,,252,,2019-01-18 02:46:13 PM,40.73226398,,-73.99852205,,MacDougal St & Washington Sq,,MacDougal St & Washington Sq,In Service,False,33,3810.0
47,,14,14,,254,,2019-01-18 02:43:22 PM,40.73532427,,-73.99800419,,W 11 St & 6 Ave,,W 11 St & 6 Ave,In Service,False,31,3810.0
48,,33,5,,257,,2019-01-18 02:43:57 PM,40.71939226,,-74.00247214,,Lispenard St & Broadway,,Lispenard St & Broadway,In Service,False,39,3810.0
49,,8,14,,258,,2019-01-18 02:42:31 PM,40.68940747,,-73.96885458,,DeKalb Ave & Vanderbilt Ave,,DeKalb Ave & Vanderbilt Ave,In Service,False,23,4004.0
50,,32,4,,259,,2019-01-18 02:44:19 PM,40.70122128,,-74.01234218,,South St & Whitehall St,,South St & Whitehall St,In Service,False,39,3810.0
51,,33,1,,260,,2019-01-18 02:43:44 PM,40.70365182,,-74.01167797,,Broad St & Bridge St,,Broad St & Bridge St,In Service,False,35,3810.0
52,,20,7,,261,,2019-01-18 02:44:52 PM,40.69474881,,-73.98362464,,Johnson St & Gold St,,Johnson St & Gold St,In Service,False,27,4004.0
53,,15,8,,262,,2019-01-18 02:43:53 PM,40.6917823,,-73.97372990000001,,Washington Park,,Washington Park,In Service,False,24,4004.0
54,,27,0,,264,,2019-01-18 02:42:21 PM,40.70706456,,-74.00731853,,Maiden Ln & Pearl St,,Maiden Ln & Pearl St,In Service,False,27,3810.0
55,,17,16,,265,,2019-01-18 02:42:48 PM,40.72229346,,-73.99147535,,Stanton St & Chrystie St,,Stanton St & Chrystie St,In Service,False,35,3809.0
56,,2,20,,266,,2019-01-18 02:45:00 PM,40.72368361,,-73.97574813,,Avenue D & E 8 St,,Avenue D & E 8 St,In Service,False,24,3809.0
57,,15,41,,267,,2019-01-18 02:46:18 PM,40.75097711,,-73.98765428,,Broadway & W 36 St,,Broadway & W 36 St,In Service,False,57,3807.0
58,,16,6,,268,,2019-01-18 02:43:19 PM,40.71910537,,-73.99973337,,Howard St & Centre St,,Howard St & Centre St,In Service,False,27,3810.0
59,,5,18,,270,,2019-01-18 02:42:29 PM,40.69308257,,-73.97178913,,Adelphi St & Myrtle Ave,,Adelphi St & Myrtle Ave,In Service,False,23,4004.0
60,,26,3,,274,,2019-01-18 02:43:27 PM,40.68691865,,-73.976682,,Lafayette Ave & Fort Greene Pl,,Lafayette Ave & Fort Greene Pl,In Service,False,31,4004.0
61,,4,13,,275,,2019-01-18 02:43:14 PM,40.68650065,,-73.96563307,,Washington Ave & Greene Ave,,Washington Ave & Greene Ave,In Service,False,19,4004.0
62,,5,19,,276,,2019-01-18 02:44:01 PM,40.71748752,,-74.0104554,,Duane St & Greenwich St,,Duane St & Greenwich St,In Service,False,25,3810.0
63,,8,11,,278,,2019-01-18 02:45:27 PM,40.69766564,,-73.98476437,,Concord St & Bridge St,,Concord St & Bridge St,In Service,False,19,4004.0
64,,31,4,,279,,2019-01-18 02:42:41 PM,40.707873,,-74.00166999999999,,Peck Slip & Front St,,Peck Slip & Front St,In Service,False,36,3810.0
65,,23,6,,280,,2019-01-18 02:43:22 PM,40.73331967,,-73.99510132,,E 10 St & 5 Ave,,E 10 St & 5 Ave,In Service,False,31,3810.0
66,,0,0,,281,,2019-01-18 02:43:31 PM,40.764397100000004,,-73.97371465,,Grand Army Plaza & Central Park S,,Grand Army Plaza & Central Park S,Not In Service,False,0,3807.0
67,,14,13,,282,,2019-01-18 02:45:26 PM,40.7076449441757,,-73.96841526031494,,Kent Ave & S 11 St,,Kent Ave & S 11 St,In Service,False,27,4001.0
68,,39,10,,285,,2019-01-18 02:45:23 PM,40.73454567,,-73.99074142,,Broadway & E 14 St,,Broadway & E 14 St,In Service,False,51,3810.0
69,,10,9,,289,,2019-01-18 02:44:47 PM,40.684568299999995,,-73.95881081,,Monroe St & Classon Ave,,Monroe St & Classon Ave,In Service,False,19,4004.0
70,,1,19,,291,,2019-01-18 02:45:20 PM,40.713126,,-73.984844,,Madison St & Montgomery St,,Madison St & Montgomery St,In Service,False,20,3809.0
71,,39,15,,293,,2019-01-18 02:45:17 PM,40.73020660529954,,-73.99102628231049,,Lafayette St & E 8 St,,Lafayette St & E 8 St,In Service,False,55,3810.0
